bin_id,load
686,5
687,2
688,3
689,2
690,2
691,2
692,0
693,0
694,2
695,0
696,0
697,3
698,2
699,0
700,2
701,2
702,2
703,4
704,3
705,5
706,1
707,2
708,2
709,1
710,2
711,0
712,1
713,2
714,2
715,1
716,2
717,1
718,3
719,1
720,3
721,0
722,1
723,0
724,1
725,3
726,3
727,1
728,2
729,3
730,5
731,2
732,2
733,3
734,3
735,1
736,2
737,2
738,1
739,3
740,4
741,3
742,3
743,5
744,2
745,1
746,0
747,5
748,2
749,2
750,3
751,4
752,3
753,3
754,0
755,1
756,3
757,1
758,1
759,2
760,1
761,3
762,0
763,1
764,3
765,3
766,1
767,3
768,3
769,2
770,2
771,1
772,2
773,2
774,2
775,1
776,3
777,1
778,1
779,0
780,0
781,3
782,1
783,1
784,1
785,4
786,1
787,1
788,2
789,3
790,2
791,3
792,1
793,1
794,1
795,5
796,2
797,1
798,1
799,0
800,2
801,2
802,1
803,5
804,1
805,4
806,1
807,1
808,3
809,1
810,3
811,3
812,3
813,4
814,2
815,6
816,2
817,2
818,3
819,2
820,2
821,2
822,2
823,1
824,1
825,6
826,2
827,3
828,3
829,1
830,0
831,2
832,2
833,1
834,1
835,1
836,3
837,3
838,3
839,2
840,3
841,0
842,0
843,4
844,0
845,4
846,3
847,1
848,1
849,1
850,0
851,3
852,1
853,3
854,4
855,1
856,3
857,1
858,2
859,1
860,1
861,3
862,3
863,2
864,2
865,6
866,0
867,1
868,3
869,4
870,3
871,0
872,1
873,1
874,2
875,3
876,2
877,1
878,0
879,2
880,2
881,3
882,5
883,0
884,2
885,3
886,1
887,1
888,3
889,1
890,4
891,3
892,2
893,2
894,5
895,2
896,1
897,6
898,1
899,2
900,0
901,3
902,1
903,0
904,2
905,1
906,3
907,1
908,1
909,2
910,1
911,2
912,2
913,4
914,2
915,2
916,2
917,1
918,0
919,4
920,3
921,1
922,2
923,1
924,0
925,1
926,3
927,3
928,0
929,3
930,4
931,1
932,3
933,3
934,4
935,2
936,2
937,2
938,0
939,3
940,1
941,3
942,3
943,4
944,2
945,2
946,0
947,1
948,2
949,3
950,0
951,1
952,2
953,3
954,5
955,2
956,1
957,1
958,0
959,2
960,3
961,1
962,2
963,4
964,3
965,3
966,2
967,2
968,2
969,2
970,1
971,3
972,2
973,2
974,1
975,0
976,0
977,0
978,2
979,4
980,0
981,2
982,2
983,2
984,0
985,1
986,3
987,2
988,0
989,2
990,1
991,1
992,3
993,2
994,3
995,2
996,0
997,1
998,1
999,2
